PERMNO,date,RET
10107,20180928,0.018161
10107,20181031,-0.066101
10107,20181130,0.042505
10107,20181231,-0.084047
10107,20190131,0.028158
10107,20190228,0.077181
10107,20190329,0.052754
10107,20190430,0.107343
10107,20190531,-0.049464
10107,20190628,0.083118
10107,20190731,0.017244
10107,20190830,0.015044
10107,20190930,0.008487
10107,20191031,0.031216
10107,20191129,0.059427
10107,20191231,0.041749
14593,20000131,0.009119
14593,20000229,0.104819
14593,20000331,0.184842
14593,20000428,-0.086516
14593,20000531,-0.322922
14593,20000630,0.247024
14593,20000731,-0.029833
14593,20000831,0.199262
14593,20000929,-0.577436
14593,20001031,-0.240291
14593,20001130,-0.15655
14593,20001229,-0.098485
14593,20010131,0.453782
14593,20010228,-0.156069
14593,20010330,0.209315
14593,20010430,0.154961
14593,20010531,-0.21734
14593,20010629,0.165413
14593,20010731,-0.191828
14593,20010831,-0.012773
14593,20010928,-0.163881
14593,20011031,0.132173
14593,20011130,0.212984
14593,20011231,0.028169
14593,20020131,0.128767
14593,20020228,-0.122168
14593,20020328,0.090783
14593,20020430,0.025349
14593,20020531,-0.039967
14593,20020628,-0.239485
14593,20020731,-0.138826
14593,20020830,-0.033421
14593,20020930,-0.016949
14593,20021031,0.108276
14593,20021129,-0.03547
14593,20021231,-0.075484
14593,20030131,0.002093
14593,20030228,0.045265
14593,20030331,-0.057961
14593,20030430,0.005658
14593,20030530,0.262307
14593,20030630,0.061838
14593,20030731,0.105981
14593,20030829,0.072581
14593,20030930,-0.083591
14593,20031031,0.10473
14593,20031128,-0.086501
14593,20031231,0.021999
14593,20040130,0.055685
14593,20040227,0.060284
14593,20040331,0.130435
14593,20040430,-0.046598
14593,20040528,0.088441
14593,20040630,0.159658
14593,20040730,-0.006146
14593,20040831,0.066481
14593,20040930,0.123514
14593,20041029,0.352258
14593,20041130,0.27958
14593,20041231,-0.039523
14593,20050131,0.194099
14593,20050228,0.16671
14593,20050331,-0.07111
14593,20050429,-0.134629
14593,20050531,0.102587
14593,20050630,-0.074179
14593,20050729,0.158653
14593,20050831,0.099414
14593,20050930,0.143314
14593,20051031,0.07424
14593,20051130,0.177635
14593,20051230,0.060012
14593,20060131,0.050355
14593,20060228,-0.092968
14593,20060331,-0.084246
14593,20060428,0.12229
14593,20060531,-0.150874
14593,20060630,-0.041827
14593,20060731,0.18666
14593,20060831,-0.001619
14593,20060929,0.134562
14593,20061031,0.053261
14593,20061130,0.130488
14593,20061229,-0.074405
14593,20070131,0.01049
14593,20070228,-0.013064
14593,20070330,0.098097
